y_test,y_pred,date,day_of_week_char
290576.636,305638.72,2023-11-25,Sa
313250.073,329353.4,2023-11-26,Su
338293.901,360830.47,2023-11-27,Mo
377420.877,376204.2,2023-11-28,Tu
395673.261,411631.12,2023-11-29,We
392004.19,407729.6,2023-11-30,Th
379180.487,397079.28,2023-12-01,Fr
366708.24,377449.56,2023-12-02,Sa
370272.783,406927.47,2023-12-03,Su
433817.482,450055.7,2023-12-04,Mo
419237.392,441782.6,2023-12-05,Tu
405861.207,422582.47,2023-12-06,We
396702.119,424580.7,2023-12-07,Th
365010.837,395513.12,2023-12-08,Fr
326781.975,346141.03,2023-12-09,Sa
318931.461,316429.7,2023-12-10,Su
323981.903,331853.53,2023-12-11,Mo
329533.191,330811.2,2023-12-12,Tu
323922.763,341703.03,2023-12-13,We
326937.781,334214.47,2023-12-14,Th
306619.553,341882.16,2023-12-15,Fr
274208.809,288183.4,2023-12-16,Sa
283194.081,290528.47,2023-12-17,Su
310072.445,309101.53,2023-12-18,Mo
302823.456,315940.9,2023-12-19,Tu
301953.574,316491.78,2023-12-20,We
287336.384,298100.25,2023-12-21,Th
288377.652,303842.62,2023-12-22,Fr
276478.893,276982.97,2023-12-23,Sa
237292.998,251093.31,2023-12-24,Su
213031.878,219114.3,2023-12-25,Mo
220299.037,235195.86,2023-12-26,Tu
244351.972,247259.77,2023-12-27,We
245754.337,236230.23,2023-12-28,Th
229965.275,234756.05,2023-12-29,Fr
225938.941,223468.02,2023-12-30,Sa
244595.789,244966.53,2023-12-31,Su
255349.674,271825.97,2024-01-01,Mo
296559.94,277359.62,2024-01-02,Tu
273834.61,279979.84,2024-01-03,We
299354.333,291728.34,2024-01-04,Th
311725.444,303215.4,2024-01-05,Fr
279093.091,307109.56,2024-01-06,Sa
357026.634,350105.75,2024-01-07,Su
475666.565,459755.75,2024-01-08,Mo
500724.043,518499.62,2024-01-09,Tu
491002.924,518837.4,2024-01-10,We
474758.022,490954.72,2024-01-11,Th
427178.007,468871.06,2024-01-12,Fr
364585.664,394343.4,2024-01-13,Sa
363723.657,387721.3,2024-01-14,Su
400515.29,421948.28,2024-01-15,Mo
425198.019,433139.7,2024-01-16,Tu
426455.543,429159.2,2024-01-17,We
409311.994,430142.97,2024-01-18,Th
413869.886,436741.2,2024-01-19,Fr
370963.623,391697.94,2024-01-20,Sa
382681.395,397396.94,2024-01-21,Su
406712.419,400582.34,2024-01-22,Mo
355083.632,392331.9,2024-01-23,Tu
316968.892,333850.12,2024-01-24,We
334392.472,334735.3,2024-01-25,Th
306113.136,319225.34,2024-01-26,Fr
292608.318,301550.53,2024-01-27,Sa
314237.608,313929.53,2024-01-28,Su
375693.801,362268.53,2024-01-29,Mo
374908.697,380808.12,2024-01-30,Tu
373180.647,371705.62,2024-01-31,We
355267.213,367224.66,2024-02-01,Th
308676.266,335224.16,2024-02-02,Fr
255210.764,263744.16,2024-02-03,Sa
253599.105,264494.1,2024-02-04,Su
267112.145,289114.75,2024-02-05,Mo
276911.095,290222.16,2024-02-06,Tu
313731.446,303398.53,2024-02-07,We
318511.931,306087.06,2024-02-08,Th
249770.77,282096.28,2024-02-09,Fr
210919.688,216070.5,2024-02-10,Sa
232651.324,242868.6,2024-02-11,Su
260781.673,279128.88,2024-02-12,Mo
283555.605,289160.53,2024-02-13,Tu
279676.645,278666.3,2024-02-14,We
257527.092,274069.7,2024-02-15,Th
236255.27,242253.88,2024-02-16,Fr
220343.186,229410.23,2024-02-17,Sa
229464.014,236185.19,2024-02-18,Su
265470.303,281735.0,2024-02-19,Mo
265866.359,276842.66,2024-02-20,Tu
263094.466,273517.62,2024-02-21,We
261250.23,265686.38,2024-02-22,Th
258624.102,260377.12,2024-02-23,Fr
231394.538,240310.81,2024-02-24,Sa
250480.727,250526.86,2024-02-25,Su
273896.773,297624.16,2024-02-26,Mo
273665.707,271741.1,2024-02-27,Tu
276552.811,292469.22,2024-02-28,We
266621.02,273032.88,2024-02-29,Th
255892.825,247923.78,2024-03-01,Fr
206156.757,231653.98,2024-03-02,Sa
213381.668,228121.88,2024-03-03,Su
227799.58,249394.25,2024-03-04,Mo
261200.001,267652.6,2024-03-05,Tu
270183.556,274555.5,2024-03-06,We
300231.891,303622.9,2024-03-07,Th
276131.962,289068.03,2024-03-08,Fr
236713.702,247746.69,2024-03-09,Sa
222447.451,228024.69,2024-03-10,Su
228086.577,252690.83,2024-03-11,Mo
263202.151,262034.97,2024-03-12,Tu
258514.206,253625.42,2024-03-13,We
243609.571,256207.7,2024-03-14,Th
198723.383,214354.08,2024-03-15,Fr
185147.491,200035.83,2024-03-16,Sa
217506.219,224234.25,2024-03-17,Su
293378.765,272585.34,2024-03-18,Mo
288283.334,315972.88,2024-03-19,Tu
267849.385,279956.56,2024-03-20,We
228557.891,251323.69,2024-03-21,Th
211967.929,217921.6,2024-03-22,Fr
191975.085,211988.64,2024-03-23,Sa
227040.032,228290.77,2024-03-24,Su
278478.032,271417.56,2024-03-25,Mo
232768.751,247632.97,2024-03-26,Tu
213601.159,215074.6,2024-03-27,We
203537.495,239993.0,2024-03-28,Th
