y_test,y_pred,date,day_of_week_char
290576.636,309284.38,2023-11-25,Sa
313250.073,331473.06,2023-11-26,Su
338293.901,354714.56,2023-11-27,Mo
377420.877,377719.4,2023-11-28,Tu
395673.261,410464.1,2023-11-29,We
392004.19,408649.97,2023-11-30,Th
379180.487,399066.34,2023-12-01,Fr
366708.24,377549.47,2023-12-02,Sa
370272.783,402734.0,2023-12-03,Su
433817.482,444995.0,2023-12-04,Mo
419237.392,440806.6,2023-12-05,Tu
405861.207,423399.56,2023-12-06,We
396702.119,427275.9,2023-12-07,Th
365010.837,397986.8,2023-12-08,Fr
326781.975,347426.9,2023-12-09,Sa
318931.461,313490.75,2023-12-10,Su
323981.903,327116.56,2023-12-11,Mo
329533.191,327327.8,2023-12-12,Tu
323922.763,342265.8,2023-12-13,We
326937.781,336687.28,2023-12-14,Th
306619.553,345370.7,2023-12-15,Fr
274208.809,293234.84,2023-12-16,Sa
283194.081,287687.78,2023-12-17,Su
310072.445,319616.0,2023-12-18,Mo
302823.456,319672.25,2023-12-19,Tu
301953.574,318440.97,2023-12-20,We
287336.384,306504.28,2023-12-21,Th
288377.652,305008.78,2023-12-22,Fr
276478.893,282327.12,2023-12-23,Sa
237292.998,246910.73,2023-12-24,Su
213031.878,221984.33,2023-12-25,Mo
220299.037,235621.83,2023-12-26,Tu
244351.972,250385.7,2023-12-27,We
245754.337,240893.3,2023-12-28,Th
229965.275,228239.08,2023-12-29,Fr
225938.941,227442.78,2023-12-30,Sa
244595.789,244763.02,2023-12-31,Su
255349.674,266627.47,2024-01-01,Mo
296559.94,281728.3,2024-01-02,Tu
273834.61,275185.0,2024-01-03,We
299354.333,288518.3,2024-01-04,Th
311725.444,304453.38,2024-01-05,Fr
279093.091,305075.12,2024-01-06,Sa
357026.634,352803.47,2024-01-07,Su
475666.565,452986.12,2024-01-08,Mo
500724.043,518562.06,2024-01-09,Tu
491002.924,519238.3,2024-01-10,We
474758.022,484837.22,2024-01-11,Th
427178.007,467265.38,2024-01-12,Fr
364585.664,390955.84,2024-01-13,Sa
363723.657,388484.22,2024-01-14,Su
400515.29,422231.12,2024-01-15,Mo
425198.019,431009.16,2024-01-16,Tu
426455.543,428722.0,2024-01-17,We
409311.994,432643.0,2024-01-18,Th
413869.886,431191.94,2024-01-19,Fr
370963.623,389979.8,2024-01-20,Sa
382681.395,393676.22,2024-01-21,Su
406712.419,402823.88,2024-01-22,Mo
355083.632,390968.9,2024-01-23,Tu
316968.892,329986.47,2024-01-24,We
334392.472,335066.06,2024-01-25,Th
306113.136,322812.1,2024-01-26,Fr
292608.318,298931.53,2024-01-27,Sa
314237.608,310422.9,2024-01-28,Su
375693.801,359079.22,2024-01-29,Mo
374908.697,380232.12,2024-01-30,Tu
373180.647,367584.72,2024-01-31,We
355267.213,366851.25,2024-02-01,Th
308676.266,334255.5,2024-02-02,Fr
255210.764,262877.5,2024-02-03,Sa
253599.105,257335.44,2024-02-04,Su
267112.145,285862.5,2024-02-05,Mo
276911.095,287859.88,2024-02-06,Tu
313731.446,305769.2,2024-02-07,We
318511.931,305839.5,2024-02-08,Th
249770.77,276892.38,2024-02-09,Fr
210919.688,214841.98,2024-02-10,Sa
232651.324,237377.06,2024-02-11,Su
260781.673,279627.75,2024-02-12,Mo
283555.605,287583.2,2024-02-13,Tu
279676.645,275116.78,2024-02-14,We
257527.092,270796.0,2024-02-15,Th
236255.27,239371.28,2024-02-16,Fr
220343.186,225367.17,2024-02-17,Sa
229464.014,231167.12,2024-02-18,Su
265470.303,279505.88,2024-02-19,Mo
265866.359,278267.53,2024-02-20,Tu
263094.466,271703.28,2024-02-21,We
261250.23,265898.62,2024-02-22,Th
258624.102,261066.66,2024-02-23,Fr
231394.538,242055.14,2024-02-24,Sa
250480.727,251074.16,2024-02-25,Su
273896.773,293743.84,2024-02-26,Mo
273665.707,270671.97,2024-02-27,Tu
276552.811,290107.72,2024-02-28,We
266621.02,272692.62,2024-02-29,Th
255892.825,244081.97,2024-03-01,Fr
206156.757,228097.75,2024-03-02,Sa
213381.668,227975.6,2024-03-03,Su
227799.58,249324.48,2024-03-04,Mo
261200.001,267222.28,2024-03-05,Tu
270183.556,276331.12,2024-03-06,We
300231.891,306979.6,2024-03-07,Th
276131.962,292822.84,2024-03-08,Fr
236713.702,247432.89,2024-03-09,Sa
222447.451,225837.12,2024-03-10,Su
228086.577,252648.61,2024-03-11,Mo
263202.151,261190.34,2024-03-12,Tu
258514.206,249840.78,2024-03-13,We
243609.571,251265.75,2024-03-14,Th
198723.383,213056.3,2024-03-15,Fr
185147.491,195693.1,2024-03-16,Sa
217506.219,229243.92,2024-03-17,Su
293378.765,273861.38,2024-03-18,Mo
288283.334,314777.34,2024-03-19,Tu
267849.385,278249.75,2024-03-20,We
228557.891,246801.97,2024-03-21,Th
211967.929,215356.64,2024-03-22,Fr
191975.085,205951.23,2024-03-23,Sa
227040.032,238261.97,2024-03-24,Su
278478.032,270340.34,2024-03-25,Mo
232768.751,247032.8,2024-03-26,Tu
213601.159,212427.8,2024-03-27,We
203537.495,240762.06,2024-03-28,Th
160085.53,168016.33,2024-03-29,Fr
127506.085,120727.016,2024-03-30,Sa
122344.968,128420.31,2024-03-31,Su
142687.252,140678.36,2024-04-01,Mo
187597.198,170290.2,2024-04-02,Tu
195313.963,191065.39,2024-04-03,We
175038.406,190757.12,2024-04-04,Th
145212.257,155998.89,2024-04-05,Fr
107138.776,113385.66,2024-04-06,Sa
110431.913,104467.43,2024-04-07,Su
131672.831,134782.34,2024-04-08,Mo
117185.662,132229.56,2024-04-09,Tu
158517.396,155145.9,2024-04-10,We
153348.407,150302.0,2024-04-11,Th
133688.874,137478.42,2024-04-12,Fr
98784.2,101978.125,2024-04-13,Sa
112129.441,106793.625,2024-04-14,Su
150107.542,151777.38,2024-04-15,Mo
189826.205,192770.44,2024-04-16,Tu
214472.916,237568.4,2024-04-17,We
224500.123,231349.0,2024-04-18,Th
213941.04,226852.36,2024-04-19,Fr
204001.372,223829.72,2024-04-20,Sa
223211.407,232594.97,2024-04-21,Su
275791.64,274554.4,2024-04-22,Mo
265744.265,282619.34,2024-04-23,Tu
264176.26,287135.3,2024-04-24,We
250342.148,274213.53,2024-04-25,Th
202236.756,222821.06,2024-04-26,Fr
133918.293,154354.7,2024-04-27,Sa
124356.255,123306.086,2024-04-28,Su
139134.675,142158.92,2024-04-29,Mo
119816.814,137475.89,2024-04-30,Tu
102063.332,117188.01,2024-05-01,We
110804.644,115025.72,2024-05-02,Th
113309.657,113726.555,2024-05-03,Fr
93828.262,92979.766,2024-05-04,Sa
99076.675,99938.055,2024-05-05,Su
124237.642,133952.48,2024-05-06,Mo
146852.905,146466.58,2024-05-07,Tu
138242.389,151072.31,2024-05-08,We
131993.284,139656.53,2024-05-09,Th
121966.047,123107.484,2024-05-10,Fr
93746.348,101816.555,2024-05-11,Sa
98565.05,102365.164,2024-05-12,Su
113825.729,131240.9,2024-05-13,Mo
112015.691,118546.76,2024-05-14,Tu
111800.78,123927.03,2024-05-15,We
113071.323,126815.84,2024-05-16,Th
117340.263,113767.555,2024-05-17,Fr
109125.025,92558.47,2024-05-18,Sa
108801.553,111533.59,2024-05-19,Su
123645.728,135085.38,2024-05-20,Mo
117280.355,131672.4,2024-05-21,Tu
123469.265,127469.734,2024-05-22,We
126777.246,124061.18,2024-05-23,Th
119594.556,119668.484,2024-05-24,Fr
99431.846,90779.07,2024-05-25,Sa
92708.87,100590.54,2024-05-26,Su
118396.351,128642.336,2024-05-27,Mo
125404.803,131872.55,2024-05-28,Tu
120239.469,127487.62,2024-05-29,We
119139.934,126086.65,2024-05-30,Th
115611.1,114283.625,2024-05-31,Fr
86847.16,93032.96,2024-06-01,Sa
98704.742,91128.79,2024-06-02,Su
139540.944,135118.97,2024-06-03,Mo
132560.089,145279.67,2024-06-04,Tu
116855.669,126953.734,2024-06-05,We
113428.917,122915.664,2024-06-06,Th
112925.131,110560.59,2024-06-07,Fr
93450.719,85866.664,2024-06-08,Sa
93256.278,97253.41,2024-06-09,Su
118488.124,132268.75,2024-06-10,Mo
111748.63,128851.766,2024-06-11,Tu
126753.882,129805.01,2024-06-12,We
136650.496,127886.04,2024-06-13,Th
109008.315,121788.62,2024-06-14,Fr
81724.528,86225.29,2024-06-15,Sa
88978.141,92190.734,2024-06-16,Su
114266.034,123646.85,2024-06-17,Mo
110437.104,121741.58,2024-06-18,Tu
112937.847,125602.23,2024-06-19,We
131630.597,123148.16,2024-06-20,Th
92019.857,115843.18,2024-06-21,Fr
77848.093,83402.82,2024-06-22,Sa
84753.014,84093.305,2024-06-23,Su
115879.694,108070.766,2024-06-24,Mo
112034.917,121109.19,2024-06-25,Tu
119143.805,123143.13,2024-06-26,We
113745.177,123076.26,2024-06-27,Th
101510.761,109656.836,2024-06-28,Fr
75132.984,82600.74,2024-06-29,Sa
81288.134,87752.16,2024-06-30,Su
97766.326,107486.65,2024-07-01,Mo
101328.35,111911.91,2024-07-02,Tu
102237.468,112730.87,2024-07-03,We
95866.106,110965.04,2024-07-04,Th
79615.235,86685.67,2024-07-05,Fr
71512.45,68909.22,2024-07-06,Sa
80608.186,83496.55,2024-07-07,Su
96269.644,107232.766,2024-07-08,Mo
97697.745,110492.79,2024-07-09,Tu
95586.513,109301.89,2024-07-10,We
95575.734,110805.31,2024-07-11,Th
88757.619,100840.48,2024-07-12,Fr
76369.035,76281.96,2024-07-13,Sa
82000.695,81689.81,2024-07-14,Su
109643.467,110085.13,2024-07-15,Mo
124170.884,118992.64,2024-07-16,Tu
117488.098,127622.1,2024-07-17,We
96311.666,121363.61,2024-07-18,Th
88583.072,100353.88,2024-07-19,Fr
74126.308,75213.18,2024-07-20,Sa
78516.27,82252.53,2024-07-21,Su
106489.888,109252.93,2024-07-22,Mo
113906.0,110479.266,2024-07-23,Tu
109191.423,119619.83,2024-07-24,We
94105.507,119054.02,2024-07-25,Th
95837.649,96165.09,2024-07-26,Fr
79306.664,76133.875,2024-07-27,Sa
77672.249,82659.35,2024-07-28,Su
104969.026,105700.266,2024-07-29,Mo
110170.705,105585.734,2024-07-30,Tu
99540.566,111539.87,2024-07-31,We
100790.554,109929.91,2024-08-01,Th
95520.565,99908.99,2024-08-02,Fr
77918.452,76780.11,2024-08-03,Sa
78304.059,80384.72,2024-08-04,Su
105813.391,108617.05,2024-08-05,Mo
112236.633,106394.55,2024-08-06,Tu
102524.38,114614.15,2024-08-07,We
106855.352,112300.12,2024-08-08,Th
87765.472,98930.38,2024-08-09,Fr
74627.042,72670.12,2024-08-10,Sa
80984.988,81145.5,2024-08-11,Su
107568.69,108981.34,2024-08-12,Mo
121564.035,112030.51,2024-08-13,Tu
109074.147,124876.27,2024-08-14,We
102495.016,118678.7,2024-08-15,Th
96396.254,101226.34,2024-08-16,Fr
77593.401,79606.07,2024-08-17,Sa
76226.527,86416.125,2024-08-18,Su
107194.368,107588.7,2024-08-19,Mo
105880.993,108856.695,2024-08-20,Tu
100561.351,113433.84,2024-08-21,We
95764.556,113092.945,2024-08-22,Th
90261.581,99056.04,2024-08-23,Fr
72680.273,78918.555,2024-08-24,Sa
86686.223,87979.35,2024-08-25,Su
123193.667,115325.04,2024-08-26,Mo
118007.556,122087.516,2024-08-27,Tu
115874.334,123628.76,2024-08-28,We
127384.813,119919.92,2024-08-29,Th
107292.573,115443.42,2024-08-30,Fr
86689.957,84557.29,2024-08-31,Sa
85494.766,90706.08,2024-09-01,Su
117422.765,118939.08,2024-09-02,Mo
125749.499,120081.26,2024-09-03,Tu
120643.793,127472.04,2024-09-04,We
100635.943,123779.58,2024-09-05,Th
105889.875,105870.38,2024-09-06,Fr
87622.445,82466.25,2024-09-07,Sa
91291.576,92003.14,2024-09-08,Su
127876.935,141164.66,2024-09-09,Mo
108179.99,128241.305,2024-09-10,Tu
107425.449,126431.64,2024-09-11,We
127116.066,136312.83,2024-09-12,Th
127498.018,133361.31,2024-09-13,Fr
117662.835,112095.41,2024-09-14,Sa
129232.106,124310.24,2024-09-15,Su
164316.251,160235.33,2024-09-16,Mo
142838.976,160286.73,2024-09-17,Tu
127658.071,141074.44,2024-09-18,We
135875.566,130914.72,2024-09-19,Th
120128.282,128352.23,2024-09-20,Fr
101550.969,98621.96,2024-09-21,Sa
113383.346,108124.64,2024-09-22,Su
139459.798,139677.58,2024-09-23,Mo
133318.063,148751.8,2024-09-24,Tu
125767.735,133876.81,2024-09-25,We
127402.512,128582.68,2024-09-26,Th
134220.993,117123.27,2024-09-27,Fr
120162.178,124795.38,2024-09-28,Sa
141363.482,150126.5,2024-09-29,Su
175831.817,192520.08,2024-09-30,Mo
186798.529,192101.9,2024-10-01,Tu
203017.585,201910.19,2024-10-02,We
201416.8,204671.8,2024-10-03,Th
207305.396,208054.28,2024-10-04,Fr
171522.449,197334.47,2024-10-05,Sa
177729.768,198628.6,2024-10-06,Su
203991.034,205238.89,2024-10-07,Mo
192372.835,187828.95,2024-10-08,Tu
177566.651,184849.44,2024-10-09,We
165295.302,185023.88,2024-10-10,Th
182627.003,195437.52,2024-10-11,Fr
166971.14,176162.77,2024-10-12,Sa
179667.193,185739.17,2024-10-13,Su
222993.784,233869.42,2024-10-14,Mo
228254.902,242578.48,2024-10-15,Tu
215828.374,233720.14,2024-10-16,We
207559.309,218372.69,2024-10-17,Th
185717.627,196240.53,2024-10-18,Fr
167041.234,171000.92,2024-10-19,Sa
178825.221,185318.94,2024-10-20,Su
216222.622,218260.19,2024-10-21,Mo
221348.341,222885.06,2024-10-22,Tu
226716.312,241712.3,2024-10-23,We
216918.574,218066.86,2024-10-24,Th
203137.063,213466.67,2024-10-25,Fr
171769.017,182411.81,2024-10-26,Sa
165290.6,178486.42,2024-10-27,Su
184101.007,202000.0,2024-10-28,Mo
216530.88,198275.47,2024-10-29,Tu
218012.723,229495.25,2024-10-30,We
200640.543,235281.33,2024-10-31,Th
201118.457,199807.66,2024-11-01,Fr
213025.612,207021.83,2024-11-02,Sa
237447.857,231807.83,2024-11-03,Su
302801.993,287351.84,2024-11-04,Mo
304626.73,319275.28,2024-11-05,Tu
313316.693,310955.8,2024-11-06,We
304297.195,316109.16,2024-11-07,Th
296577.739,303862.8,2024-11-08,Fr
267007.647,273431.84,2024-11-09,Sa
297896.826,307079.94,2024-11-10,Su
359013.03,364774.66,2024-11-11,Mo
379653.07,366942.47,2024-11-12,Tu
369510.06,380198.06,2024-11-13,We
347298.446,351913.06,2024-11-14,Th
307179.265,335732.28,2024-11-15,Fr
255629.284,283635.28,2024-11-16,Sa
293519.917,273969.97,2024-11-17,Su
339814.73,350684.0,2024-11-18,Mo
321157.711,325269.94,2024-11-19,Tu
352139.516,354681.8,2024-11-20,We
368178.297,373734.78,2024-11-21,Th
365830.393,382262.62,2024-11-22,Fr
314902.775,349181.38,2024-11-23,Sa
315342.541,306743.88,2024-11-24,Su
334883.775,359100.3,2024-11-25,Mo
