y_test,y_pred,date,day_of_week_char
290576.636,311099.06,2023-11-25,Sa
313250.073,333680.25,2023-11-26,Su
338293.901,362626.56,2023-11-27,Mo
377420.877,383186.62,2023-11-28,Tu
395673.261,411882.38,2023-11-29,We
392004.19,403935.84,2023-11-30,Th
379180.487,397303.75,2023-12-01,Fr
366708.24,370542.28,2023-12-02,Sa
370272.783,407913.44,2023-12-03,Su
433817.482,449583.0,2023-12-04,Mo
419237.392,441228.06,2023-12-05,Tu
405861.207,418844.22,2023-12-06,We
396702.119,421582.25,2023-12-07,Th
365010.837,394785.25,2023-12-08,Fr
326781.975,342762.78,2023-12-09,Sa
318931.461,312640.78,2023-12-10,Su
323981.903,331114.28,2023-12-11,Mo
329533.191,328302.1,2023-12-12,Tu
323922.763,340854.56,2023-12-13,We
326937.781,337230.44,2023-12-14,Th
306619.553,342936.56,2023-12-15,Fr
274208.809,286667.72,2023-12-16,Sa
283194.081,293190.6,2023-12-17,Su
310072.445,324635.47,2023-12-18,Mo
302823.456,317384.7,2023-12-19,Tu
301953.574,318137.03,2023-12-20,We
287336.384,298738.28,2023-12-21,Th
288377.652,305327.16,2023-12-22,Fr
276478.893,275044.03,2023-12-23,Sa
237292.998,244488.55,2023-12-24,Su
213031.878,217620.19,2023-12-25,Mo
220299.037,229474.73,2023-12-26,Tu
244351.972,247656.22,2023-12-27,We
245754.337,240876.64,2023-12-28,Th
229965.275,226237.72,2023-12-29,Fr
225938.941,218802.4,2023-12-30,Sa
244595.789,245038.1,2023-12-31,Su
255349.674,270181.16,2024-01-01,Mo
296559.94,285011.84,2024-01-02,Tu
273834.61,273634.25,2024-01-03,We
299354.333,290136.03,2024-01-04,Th
311725.444,308448.53,2024-01-05,Fr
279093.091,304387.62,2024-01-06,Sa
357026.634,354697.34,2024-01-07,Su
475666.565,450084.75,2024-01-08,Mo
500724.043,515256.4,2024-01-09,Tu
491002.924,514703.1,2024-01-10,We
474758.022,486061.0,2024-01-11,Th
427178.007,468452.94,2024-01-12,Fr
364585.664,392810.8,2024-01-13,Sa
363723.657,390418.12,2024-01-14,Su
400515.29,421448.4,2024-01-15,Mo
425198.019,428095.38,2024-01-16,Tu
426455.543,426817.8,2024-01-17,We
409311.994,430521.44,2024-01-18,Th
413869.886,431314.25,2024-01-19,Fr
370963.623,387011.66,2024-01-20,Sa
382681.395,394501.8,2024-01-21,Su
406712.419,403078.38,2024-01-22,Mo
355083.632,394847.9,2024-01-23,Tu
316968.892,334807.25,2024-01-24,We
334392.472,336007.53,2024-01-25,Th
