y_test,y_pred,date,day_of_week_char
290576.636,307888.3,2023-11-25,Sa
313250.073,332309.28,2023-11-26,Su
338293.901,355919.66,2023-11-27,Mo
377420.877,375655.88,2023-11-28,Tu
395673.261,409059.94,2023-11-29,We
392004.19,411024.16,2023-11-30,Th
379180.487,399380.6,2023-12-01,Fr
366708.24,376838.28,2023-12-02,Sa
370272.783,404099.72,2023-12-03,Su
433817.482,443347.75,2023-12-04,Mo
419237.392,441272.6,2023-12-05,Tu
405861.207,424230.75,2023-12-06,We
396702.119,427721.4,2023-12-07,Th
365010.837,399863.7,2023-12-08,Fr
326781.975,349200.6,2023-12-09,Sa
318931.461,315315.2,2023-12-10,Su
323981.903,330537.16,2023-12-11,Mo
329533.191,328569.8,2023-12-12,Tu
323922.763,341349.53,2023-12-13,We
326937.781,338940.72,2023-12-14,Th
306619.553,344876.44,2023-12-15,Fr
274208.809,293440.2,2023-12-16,Sa
283194.081,287828.8,2023-12-17,Su
310072.445,322283.62,2023-12-18,Mo
302823.456,324109.75,2023-12-19,Tu
301953.574,320301.88,2023-12-20,We
287336.384,309002.34,2023-12-21,Th
288377.652,306520.47,2023-12-22,Fr
276478.893,283536.25,2023-12-23,Sa
237292.998,250552.5,2023-12-24,Su
213031.878,215697.14,2023-12-25,Mo
220299.037,233018.23,2023-12-26,Tu
244351.972,250812.31,2023-12-27,We
245754.337,238004.55,2023-12-28,Th
229965.275,231843.33,2023-12-29,Fr
225938.941,223332.19,2023-12-30,Sa
244595.789,247547.8,2023-12-31,Su
255349.674,267715.44,2024-01-01,Mo
296559.94,281898.38,2024-01-02,Tu
273834.61,277162.62,2024-01-03,We
299354.333,288175.25,2024-01-04,Th
311725.444,300422.0,2024-01-05,Fr
279093.091,305707.44,2024-01-06,Sa
357026.634,348532.47,2024-01-07,Su
475666.565,462267.5,2024-01-08,Mo
500724.043,517130.94,2024-01-09,Tu
491002.924,515214.0,2024-01-10,We
474758.022,489475.66,2024-01-11,Th
427178.007,466223.03,2024-01-12,Fr
364585.664,392146.88,2024-01-13,Sa
363723.657,390031.2,2024-01-14,Su
400515.29,421968.03,2024-01-15,Mo
425198.019,427181.88,2024-01-16,Tu
426455.543,428900.53,2024-01-17,We
409311.994,430794.16,2024-01-18,Th
413869.886,432771.75,2024-01-19,Fr
370963.623,391304.16,2024-01-20,Sa
382681.395,394210.94,2024-01-21,Su
406712.419,399087.8,2024-01-22,Mo
355083.632,390511.4,2024-01-23,Tu
316968.892,332993.8,2024-01-24,We
334392.472,337209.0,2024-01-25,Th
306113.136,323406.78,2024-01-26,Fr
292608.318,300867.47,2024-01-27,Sa
314237.608,311065.34,2024-01-28,Su
375693.801,356876.0,2024-01-29,Mo
374908.697,376187.1,2024-01-30,Tu
373180.647,366906.22,2024-01-31,We
355267.213,366915.38,2024-02-01,Th
308676.266,337196.38,2024-02-02,Fr
255210.764,263801.22,2024-02-03,Sa
253599.105,263216.44,2024-02-04,Su
267112.145,292365.28,2024-02-05,Mo
276911.095,288164.44,2024-02-06,Tu
313731.446,297372.06,2024-02-07,We
318511.931,305514.75,2024-02-08,Th
249770.77,283618.97,2024-02-09,Fr
210919.688,211934.22,2024-02-10,Sa
232651.324,238656.02,2024-02-11,Su
260781.673,278706.16,2024-02-12,Mo
283555.605,288625.7,2024-02-13,Tu
279676.645,280359.22,2024-02-14,We
257527.092,269183.25,2024-02-15,Th
236255.27,240067.05,2024-02-16,Fr
220343.186,226219.78,2024-02-17,Sa
229464.014,232457.6,2024-02-18,Su
265470.303,281897.53,2024-02-19,Mo
265866.359,279626.6,2024-02-20,Tu
263094.466,273737.47,2024-02-21,We
261250.23,264441.72,2024-02-22,Th
258624.102,258352.75,2024-02-23,Fr
231394.538,244032.28,2024-02-24,Sa
250480.727,249243.19,2024-02-25,Su
273896.773,296629.2,2024-02-26,Mo
273665.707,271652.0,2024-02-27,Tu
276552.811,290316.47,2024-02-28,We
266621.02,271353.3,2024-02-29,Th
255892.825,247729.14,2024-03-01,Fr
206156.757,231004.31,2024-03-02,Sa
213381.668,227455.2,2024-03-03,Su
227799.58,241740.84,2024-03-04,Mo
261200.001,264877.75,2024-03-05,Tu
270183.556,277139.3,2024-03-06,We
300231.891,307388.06,2024-03-07,Th
276131.962,290279.44,2024-03-08,Fr
236713.702,246214.9,2024-03-09,Sa
222447.451,227766.08,2024-03-10,Su
228086.577,248774.06,2024-03-11,Mo
263202.151,260470.89,2024-03-12,Tu
258514.206,254276.77,2024-03-13,We
243609.571,256676.14,2024-03-14,Th
198723.383,214794.33,2024-03-15,Fr
185147.491,199139.64,2024-03-16,Sa
217506.219,228623.84,2024-03-17,Su
293378.765,269561.22,2024-03-18,Mo
288283.334,315284.03,2024-03-19,Tu
267849.385,280053.6,2024-03-20,We
228557.891,248796.25,2024-03-21,Th
211967.929,217115.81,2024-03-22,Fr
191975.085,204889.17,2024-03-23,Sa
227040.032,236496.11,2024-03-24,Su
278478.032,269649.8,2024-03-25,Mo
232768.751,248030.27,2024-03-26,Tu
213601.159,213469.06,2024-03-27,We
203537.495,240921.67,2024-03-28,Th
160085.53,166175.44,2024-03-29,Fr
127506.085,123036.836,2024-03-30,Sa
122344.968,129415.19,2024-03-31,Su
142687.252,140250.36,2024-04-01,Mo
187597.198,170775.0,2024-04-02,Tu
195313.963,187062.77,2024-04-03,We
175038.406,191651.81,2024-04-04,Th
145212.257,156245.25,2024-04-05,Fr
107138.776,114058.07,2024-04-06,Sa
110431.913,103349.68,2024-04-07,Su
131672.831,135781.62,2024-04-08,Mo
117185.662,132359.08,2024-04-09,Tu
158517.396,156951.22,2024-04-10,We
153348.407,153105.88,2024-04-11,Th
133688.874,136792.6,2024-04-12,Fr
98784.2,102397.74,2024-04-13,Sa
112129.441,107668.31,2024-04-14,Su
150107.542,152551.97,2024-04-15,Mo
189826.205,190932.31,2024-04-16,Tu
214472.916,235165.53,2024-04-17,We
224500.123,231691.48,2024-04-18,Th
213941.04,228000.9,2024-04-19,Fr
204001.372,225934.1,2024-04-20,Sa
223211.407,236823.4,2024-04-21,Su
275791.64,273017.06,2024-04-22,Mo
265744.265,283924.1,2024-04-23,Tu
264176.26,285902.28,2024-04-24,We
250342.148,272723.72,2024-04-25,Th
202236.756,215899.95,2024-04-26,Fr
133918.293,156802.52,2024-04-27,Sa
124356.255,123240.914,2024-04-28,Su
139134.675,142370.69,2024-04-29,Mo
119816.814,136299.47,2024-04-30,Tu
102063.332,116256.336,2024-05-01,We
110804.644,115678.414,2024-05-02,Th
113309.657,111529.4,2024-05-03,Fr
93828.262,92832.91,2024-05-04,Sa
99076.675,99142.36,2024-05-05,Su
124237.642,129714.984,2024-05-06,Mo
146852.905,143465.34,2024-05-07,Tu
138242.389,152984.2,2024-05-08,We
131993.284,140560.66,2024-05-09,Th
121966.047,122598.55,2024-05-10,Fr
93746.348,99564.28,2024-05-11,Sa
98565.05,100489.23,2024-05-12,Su
113825.729,129686.07,2024-05-13,Mo
112015.691,120100.93,2024-05-14,Tu
111800.78,123470.06,2024-05-15,We
113071.323,125025.81,2024-05-16,Th
117340.263,115098.59,2024-05-17,Fr
109125.025,89844.33,2024-05-18,Sa
