y_test,y_pred,date,day_of_week_char
290576.636,308707.5,2023-11-25,Sa
313250.073,332705.5,2023-11-26,Su
338293.901,359709.25,2023-11-27,Mo
377420.877,377388.97,2023-11-28,Tu
395673.261,408995.94,2023-11-29,We
392004.19,409210.38,2023-11-30,Th
379180.487,400042.5,2023-12-01,Fr
366708.24,376259.3,2023-12-02,Sa
370272.783,401736.25,2023-12-03,Su
433817.482,445757.8,2023-12-04,Mo
419237.392,444007.53,2023-12-05,Tu
405861.207,421643.97,2023-12-06,We
396702.119,424109.03,2023-12-07,Th
365010.837,398562.88,2023-12-08,Fr
326781.975,348493.97,2023-12-09,Sa
318931.461,316595.0,2023-12-10,Su
323981.903,327272.56,2023-12-11,Mo
329533.191,323274.8,2023-12-12,Tu
323922.763,338573.7,2023-12-13,We
326937.781,334022.97,2023-12-14,Th
306619.553,345297.1,2023-12-15,Fr
274208.809,292572.22,2023-12-16,Sa
283194.081,287739.4,2023-12-17,Su
310072.445,318314.97,2023-12-18,Mo
302823.456,316966.3,2023-12-19,Tu
301953.574,318658.97,2023-12-20,We
287336.384,307375.78,2023-12-21,Th
288377.652,304853.25,2023-12-22,Fr
276478.893,283845.25,2023-12-23,Sa
237292.998,249071.28,2023-12-24,Su
213031.878,217357.0,2023-12-25,Mo
220299.037,234896.69,2023-12-26,Tu
244351.972,250706.55,2023-12-27,We
245754.337,235320.48,2023-12-28,Th
229965.275,229091.4,2023-12-29,Fr
225938.941,224205.58,2023-12-30,Sa
244595.789,245315.12,2023-12-31,Su
255349.674,273098.16,2024-01-01,Mo
296559.94,282925.22,2024-01-02,Tu
273834.61,276505.12,2024-01-03,We
299354.333,289852.62,2024-01-04,Th
311725.444,298697.78,2024-01-05,Fr
279093.091,306945.53,2024-01-06,Sa
357026.634,355502.28,2024-01-07,Su
475666.565,450590.44,2024-01-08,Mo
500724.043,517536.72,2024-01-09,Tu
491002.924,517816.9,2024-01-10,We
474758.022,491122.62,2024-01-11,Th
427178.007,469040.34,2024-01-12,Fr
364585.664,396431.97,2024-01-13,Sa
363723.657,389440.47,2024-01-14,Su
400515.29,421251.8,2024-01-15,Mo
425198.019,430098.2,2024-01-16,Tu
426455.543,428491.1,2024-01-17,We
409311.994,431731.4,2024-01-18,Th
413869.886,432135.75,2024-01-19,Fr
370963.623,389312.66,2024-01-20,Sa
382681.395,396512.72,2024-01-21,Su
406712.419,400564.5,2024-01-22,Mo
355083.632,390603.16,2024-01-23,Tu
316968.892,329091.6,2024-01-24,We
334392.472,333656.22,2024-01-25,Th
306113.136,322964.9,2024-01-26,Fr
292608.318,300846.72,2024-01-27,Sa
314237.608,315261.4,2024-01-28,Su
375693.801,362275.34,2024-01-29,Mo
374908.697,383449.94,2024-01-30,Tu
373180.647,366943.9,2024-01-31,We
355267.213,365552.0,2024-02-01,Th
308676.266,335189.3,2024-02-02,Fr
255210.764,266031.4,2024-02-03,Sa
253599.105,261687.97,2024-02-04,Su
267112.145,288113.06,2024-02-05,Mo
276911.095,289076.84,2024-02-06,Tu
313731.446,302495.88,2024-02-07,We
318511.931,304923.78,2024-02-08,Th
249770.77,277539.03,2024-02-09,Fr
210919.688,212826.2,2024-02-10,Sa
232651.324,241224.38,2024-02-11,Su
260781.673,283817.75,2024-02-12,Mo
283555.605,289528.3,2024-02-13,Tu
279676.645,277793.47,2024-02-14,We
257527.092,273561.06,2024-02-15,Th
236255.27,243007.53,2024-02-16,Fr
220343.186,226169.12,2024-02-17,Sa
229464.014,236747.36,2024-02-18,Su
265470.303,281279.0,2024-02-19,Mo
265866.359,280431.66,2024-02-20,Tu
263094.466,273340.7,2024-02-21,We
261250.23,266147.5,2024-02-22,Th
258624.102,262342.78,2024-02-23,Fr
231394.538,242538.22,2024-02-24,Sa
250480.727,250218.67,2024-02-25,Su
273896.773,295500.6,2024-02-26,Mo
273665.707,272482.97,2024-02-27,Tu
276552.811,291183.62,2024-02-28,We
266621.02,274097.03,2024-02-29,Th
255892.825,246465.9,2024-03-01,Fr
206156.757,229226.61,2024-03-02,Sa
213381.668,224153.94,2024-03-03,Su
227799.58,249678.78,2024-03-04,Mo
261200.001,271324.8,2024-03-05,Tu
270183.556,278218.22,2024-03-06,We
300231.891,306713.78,2024-03-07,Th
276131.962,289236.53,2024-03-08,Fr
236713.702,245568.08,2024-03-09,Sa
222447.451,224772.4,2024-03-10,Su
228086.577,250909.67,2024-03-11,Mo
263202.151,261997.9,2024-03-12,Tu
258514.206,254650.34,2024-03-13,We
243609.571,255756.5,2024-03-14,Th
198723.383,212283.7,2024-03-15,Fr
185147.491,196399.62,2024-03-16,Sa
217506.219,228232.7,2024-03-17,Su
293378.765,272614.0,2024-03-18,Mo
288283.334,314899.7,2024-03-19,Tu
267849.385,278568.94,2024-03-20,We
228557.891,249564.31,2024-03-21,Th
211967.929,213560.42,2024-03-22,Fr
191975.085,208388.06,2024-03-23,Sa
227040.032,236002.98,2024-03-24,Su
278478.032,269529.03,2024-03-25,Mo
232768.751,246433.66,2024-03-26,Tu
213601.159,214507.56,2024-03-27,We
203537.495,238961.81,2024-03-28,Th
160085.53,168197.22,2024-03-29,Fr
127506.085,122910.55,2024-03-30,Sa
122344.968,127484.81,2024-03-31,Su
142687.252,140132.7,2024-04-01,Mo
187597.198,167803.97,2024-04-02,Tu
