n_estimators,learning_rate,max_depth,subsample,colsample_bytree,r2_score,run_id,time_elapsed
287,0.49996208840325207,9,0.7547156093605529,0.5628214342008849,0.9745325341770896,1,91.93464922904968
438,0.20812876146123988,3,0.5,0.5229271240081353,0.9731005644690925,2,146.97302842140198
287,0.4575859417969697,11,0.7501442523055577,0.5713104013648935,0.9768141639126008,3,98.04592823982239
124,0.13536587484365414,6,0.5583581180412822,0.5,0.9674770538921956,4,82.1381344795227
335,0.3679738767110313,8,0.5,0.5167309456503617,0.9776560080604276,5,119.28109550476074
195,0.14695700890984564,7,0.5375155517840038,0.607025337895291,0.9662749557926661,6,123.41265559196472
239,0.4698317850864189,7,0.8026238875026923,0.5950236283283004,0.9799404418828824,7,87.23312854766846
342,0.3865833923690392,8,0.46384625792705436,0.4682058506616576,0.976547963109153,8,132.16409969329834
321,0.1365960866242768,15,0.5392502175361381,0.5747131390404792,0.9678286720450858,9,198.8016848564148
149,0.46605579737791764,10,0.7525392317603476,0.5644088888914578,0.9773654477246791,10,65.12065052986145
284,0.38606586395586506,10,0.5,0.5,0.9788761489189075,11,119.27062821388245
152,0.46705327454478296,9,0.7388200847281483,0.5487050829466755,0.9744490191938803,12,65.83403658866882
189,0.4693920637042581,6,0.760388246873222,0.5540524699440471,0.9668863217506026,13,72.30171489715576
343,0.4669326136252892,8,0.8023783856846655,0.5533982948340398,0.9793003506404899,14,114.0660707950592
228,0.4078724454685505,15,0.5808923528889178,0.7101567807055706,0.9652421598985749,15,111.9037573337555
227,0.2677617794904835,3,0.7394912897515362,0.5811433032431491,0.9702848722192012,16,101.5340359210968
252,0.2787679221985718,14,0.5240535421063703,0.5000002178117768,0.9754515473408413,17,159.20426416397095
355,0.4623806096509475,15,0.7957960648433391,0.5772600873503047,0.9790235958326056,18,130.24527430534363
367,0.4571780160152072,7,0.8022211833087239,0.5585150201660016,0.9802310196314986,19,125.1771399974823
286,0.3902722175350381,7,0.500029480651097,0.5096540092951989,0.9841703059684994,20,128.83950901031494
