model,library,data,mae,r2,elapsed_time
RandomForestRegressor,optuna,Diabetes,18.26176750878234,0.9183876704482746,126.4209520816803
GradientBoostingRegressor,optuna,Diabetes,66.44815382516512,0.0,82.48159170150757
XGBRegressor,optuna,Diabetes,66.44815357413576,-8.881784197001252e-16,29.197978019714355
RandomForestRegressor,optuna,California Housing,0.23053996290698445,0.921165649185477,19987.126475334167
GradientBoostingRegressor,optuna,California Housing,0.9139114988721792,0.0,5069.238925218582
XGBRegressor,optuna,California Housing,0.9139114843380913,-4.884981308350689e-15,72.89957618713379
RandomForestRegressor,optuna,Wine,0.03551745254133496,0.9904561580274349,34.530726194381714
GradientBoostingRegressor,optuna,Wine,0.6114858163062884,0.0,34.90957546234131
XGBRegressor,optuna,Wine,0.6114858153840186,3.3306690738754696e-16,31.53089714050293
RandomForestRegressor,hyperopt,Diabetes,17.80137353286478,0.920847870183477,88.04983854293823
GradientBoostingRegressor,hyperopt,Diabetes,7.301534079019918e-08,1.0,125.5220057964325
XGBRegressor,hyperopt,Diabetes,0.0010386891135412979,0.9999999993630834,81.97835230827332
RandomForestRegressor,hyperopt,California Housing,0.23098643891289145,0.920549193736183,8351.614601373672
GradientBoostingRegressor,hyperopt,California Housing,0.019396059478162246,0.999437753883703,38208.357071876526
XGBRegressor,hyperopt,California Housing,0.013311506391733648,0.9997272566305595,476.46134781837463
RandomForestRegressor,hyperopt,Wine,0.0370818661971831,0.9909365351935451,39.55105900764465
GradientBoostingRegressor,hyperopt,Wine,1.2327825625467899e-08,0.9999999999999997,39.41970109939575
XGBRegressor,hyperopt,Wine,0.0001927527071427288,0.9999997056008915,41.5005567073822
RandomForestRegressor,skopt,Diabetes,22.326600038969385,0.8769108179777909,2242.8860058784485
GradientBoostingRegressor,skopt,Diabetes,36.20992085587675,0.6929613341067722,4729.104969739914
XGBRegressor,skopt,Diabetes,35.424242392477844,0.6993390405719542,24355.71996307373
RandomForestRegressor,skopt,California Housing,0.2306809806695835,0.9205039980709185,8442.979525327682
GradientBoostingRegressor,skopt,California Housing,0.17567258682029255,0.9553353685335461,27020.921253204346
XGBRegressor,skopt,California Housing,0.16144069021789514,0.9607676243977761,14914.821935415268
RandomForestRegressor,skopt,Wine,0.037887323943661975,0.9898283437110834,2164.56405878067
GradientBoostingRegressor,skopt,Wine,0.000525574783723042,0.9999992612520906,2529.7950341701508
XGBRegressor,skopt,Wine,0.0003648037180437954,0.9999995296385521,2854.602525949478
RandomForestRegressor,MEALPY,Diabetes,42.69002125497647,0.47624742624623784,247.16939115524292
GradientBoosting,MEALPY,Diabetes,41.41484640107307,0.4848746848757024,75.72563147544861
XGBRegressor,MEALPY,Diabetes,41.108591658345766,0.48255723099007874,24.292893648147583
RandomForestRegressor,MEALPY,California Housing,0.38156308820466495,0.7598068332704089,8911.094190597534
GradientBoosting,MEALPY,California Housing,0.29329213082389566,0.8443817026643985,14074.216673135757
XGBRegressor,MEALPY,California Housing,0.29134376675179297,0.8454508259133207,377.21988582611084
RandomForestRegressor,MEALPY,Wine,0.08611111111111111,0.9319047619047619,51.04939842224121
GradientBoosting,MEALPY,Wine,0.08966588145009556,0.9422637459065313,33.210065841674805
XGBRegressor,MEALPY,Wine,0.09657426266413596,0.9382950293494107,40.1936981678009
RandomForestRegressor,DEAP,Diabetes,42.69002125497647,0.47624742624623784,157.41412496566772
GradientBoosting,DEAP,Diabetes,41.52041300523992,0.4737012841891538,34.66832637786865
XGBRegressor,DEAP,Diabetes,41.54962852563751,0.46260605161704205,9.324122905731201
RandomForestRegressor,DEAP,California Housing,0.32604998256203016,0.8068943743446642,16446.663821935654
GradientBoosting,DEAP,California Housing,0.29414691057907416,0.842211656199205,11126.428146600723
XGBRegressor,DEAP,California Housing,0.3034709690282326,0.8395897705947064,81.4223062992096
RandomForestRegressor,DEAP,Wine,0.08611111111111111,0.9319047619047619,13.517000913619995
GradientBoosting,DEAP,Wine,0.09887500895897909,0.944238248439949,28.890223264694214
XGBRegressor,DEAP,Wine,0.10249366238713264,0.9354016142348378,9.225657224655151
RandomForest,PyGMO,Diabetes,42.69002125497647,0.47624742624623784,147.02467274665833
GradientBoosting,PyGMO,Diabetes,41.249746682255854,0.4818834258822592,65.72394061088562
XGBoost,PyGMO,Diabetes,41.32565487636609,0.47668312763600573,33.27919268608093
RandomForest,PyGMO,Wine,0.08611111111111111,0.9319047619047619,46.86781716346741
GradientBoosting,PyGMO,Wine,0.09234557918454371,0.9414230735719367,49.53967261314392
XGBoost,PyGMO,Wine,0.09712032718299371,0.9377585399452174,27.514163494110107
RandomForest,PyGMO,California Housing,0.38156308820466495,0.7598068332704089,19191.686697006226
GradientBoosting,PyGMO,California Housing,0.29295331588345536,0.8437841666620839,13309.071026802063
XGBoost,PyGMO,California Housing,0.29097377927656093,0.8464080335708921,436.98953008651733
