model,library,data,mae,r2,elapsed_time
RandomForest,DEAP,Diabetes,42.69002125497647,0.47624742624623784,157.41412496566772
GradientBoosting,DEAP,Diabetes,41.52041300523992,0.4737012841891538,34.66832637786865
XGBoost,DEAP,Diabetes,41.54962852563751,0.46260605161704205,9.324122905731201
RandomForest,DEAP,California Housing,0.32604998256203016,0.8068943743446642,16446.663821935654
GradientBoosting,DEAP,California Housing,0.29414691057907416,0.842211656199205,11126.428146600723
XGBoost,DEAP,California Housing,0.3034709690282326,0.8395897705947064,81.4223062992096
RandomForest,DEAP,Wine,0.08611111111111111,0.9319047619047619,13.517000913619995
GradientBoosting,DEAP,Wine,0.09887500895897909,0.944238248439949,28.890223264694214
XGBoost,DEAP,Wine,0.10249366238713264,0.9354016142348378,9.225657224655151
