n_estimators,learning_rate,max_depth,subsample,colsample_bytree,r2_score,run_id,time_elapsed
353,0.16742931415422857,6,0.9438067352503954,0.7771481296169616,0.8504064401706927,1,544.5639810562134
442,0.09918727534067273,6,0.7662351939107871,0.8320452821781434,0.8532532496279593,2,796.8806731700897
289,0.05854378160472318,8,0.6883542002059672,0.7903004613281535,0.8541742560415271,3,1273.3642253875732
381,0.06713676627606255,7,0.9622944189706643,0.6494338310109512,0.8555599237090952,4,927.4108762741089
362,0.1447649414634829,6,1.0,0.6350438945288297,0.8512830664479062,5,587.0610139369965
361,0.0934857141592679,8,0.9320598075410065,0.8066250705504963,0.853170650696086,6,990.7376811504364
489,0.027138132784896293,9,0.7022688651955362,0.8397164650346189,0.8538219237861426,7,13508.327944755554
263,0.13682550015471764,7,0.9796455329529343,0.8228583698376961,0.8524275988484997,8,8899.147410392761
576,0.11824427099904808,6,0.9995491607447641,0.7895200032972229,0.853747673015551,9,996.6319561004639
627,0.06581706593738108,7,0.893449883693085,0.7867885341938119,0.8573463566419668,10,12525.378819942474
695,0.058105664592592914,7,0.9678566194249176,0.8389668413819292,0.8567458774958873,11,2130.818909406662
412,0.055902253759851105,7,0.9520820295464932,0.7268535916335981,0.8560172699933054,12,11954.344323635101
362,0.13458868897286802,6,0.9866865892725065,0.8292106711967182,0.8537959824590662,13,590.9087052345276
487,0.0350139926840102,8,0.9569544477687557,0.6825040398649312,0.8536777637316717,14,12631.788724422455
347,0.1129195241011208,7,0.8465216334159488,0.8294846768461455,0.850265216287133,15,563.5677392482758
