model,library,data,mae,r2,elapsed_time
RandomForest,PyGMO,Diabetes,42.69002125497647,0.47624742624623784,147.02467274665833
GradientBoosting,PyGMO,Diabetes,41.249746682255854,0.4818834258822592,65.72394061088562
XGBoost,PyGMO,Diabetes,41.32565487636609,0.47668312763600573,33.27919268608093
RandomForest,PyGMO,Wine,0.08611111111111111,0.9319047619047619,46.86781716346741
GradientBoosting,PyGMO,Wine,0.09234557918454371,0.9414230735719367,49.53967261314392
XGBoost,PyGMO,Wine,0.09712032718299371,0.9377585399452174,27.514163494110107
RandomForest,PyGMO,California Housing,0.38156308820466495,0.7598068332704089,19191.686697006226
GradientBoosting,PyGMO,California Housing,0.29295331588345536,0.8437841666620839,13309.071026802063
XGBoost,PyGMO,California Housing,0.29097377927656093,0.8464080335708921,436.98953008651733
