date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,direct_radiation
2010-02-22,-4.7841644,6237.9707,-232.355,-342.99023,6207.125,,989.5024,1956.18,2785.9583
2010-02-23,190.57208,6672.2954,30.842916,-86.451256,6841.7085,,819.3628,1667.94,3036.4167
2010-02-24,194.14917,7038.024,92.68457,-24.14887,6384.2915,,489.03442,1000.00507,2736.2083
2010-02-25,223.0075,6754.89,75.545,-42.288326,4565.0415,,789.19116,1613.5499,6217.375
2010-02-26,249.32831,6881.063,125.66376,-55.866108,7482.9585,,1118.9628,2323.7249,198.83333
2010-02-27,149.23875,5778.0903,-165.74667,-182.7452,3855.0,,998.364,2213.49,6202.7915
2010-02-28,351.42834,5646.4707,2.428333,-19.981567,5284.7085,,1440.4962,2958.1946,2774.0417
2010-03-01,162.04707,5665.7876,-180.84044,-232.08098,1900.1666,,1412.1383,3089.4749,6272.75
2010-03-02,7.051243,5749.756,-319.2071,-316.77585,4622.1665,,810.2784,1796.4149,4273.2915
2010-03-03,-61.51541,5321.9927,-467.87167,-385.26917,4166.375,,694.7427,1574.58,6561.5415
2010-03-04,-170.205,5428.4443,-546.5092,-515.5801,4908.75,,791.22314,1712.5948,3694.8333
2010-03-05,-398.83,4824.3296,-883.34674,-804.7741,4513.5,,1011.9966,2271.39,4792.7915
2010-03-06,-434.68625,5302.851,-826.13837,-832.0747,5640.5835,,986.6258,2063.7449,1827.2916
2010-03-07,-419.48,5174.5527,-843.6467,-772.4383,4923.5,,669.8527,1440.765,5356.9585
2010-03-08,-462.30496,5059.656,-905.28,-840.77386,3281.0,,816.0987,1730.1149,6111.8335
2010-03-09,-455.69876,4703.003,-960.7863,-871.9753,1615.375,,1056.3519,2209.005,9834.583
2010-03-10,-239.26125,4474.2925,-809.2529,-645.7734,6890.125,,1058.576,2256.3147,7446.7915
2010-03-11,-191.68208,5955.521,-464.52377,-503.90622,7562.375,,618.3865,1405.515,664.2083
2010-03-12,-46.546673,6422.804,-241.53833,-407.3881,7080.1665,,1131.2686,2357.775,1006.9583
2010-03-13,118.55542,6206.484,-117.482086,-301.57132,7045.9165,,1642.9316,3450.195,2501.9167
2010-03-14,155.51375,6147.6367,-91.64667,-291.93423,5682.9165,,1859.3315,4057.95,4069.8333
2010-03-15,41.380413,5829.7344,-275.38,-352.78738,6153.875,,1340.7399,2949.765,6628.0415
2010-03-16,21.307497,6116.1562,-235.15291,-313.1273,6697.9585,,956.39307,2185.98,4759.9585
2010-03-17,167.75957,5921.899,-127.75501,-135.20583,6730.625,,831.063,1800.7051,2941.6667
2010-03-18,328.2346,5629.4497,-32.661255,65.1939,4694.2915,,677.9173,1443.4501,9808.792
2010-03-19,496.1158,5658.244,136.63666,232.23029,5728.25,,858.7671,1791.84,5878.6665
2010-03-20,648.54706,6237.09,399.23874,418.00464,6693.9585,,984.76324,2129.055,2906.4583
2010-03-21,748.03876,6696.838,581.30536,542.88684,6247.9165,,1085.1935,2443.8298,2605.4167
2010-03-22,488.36374,6044.8867,198.89915,297.3586,3122.7917,,445.62378,1077.165,7635.5
2010-03-23,594.39496,5932.765,279.0325,396.35977,3120.4583,,592.3086,1308.5099,8010.0
2010-03-24,690.69086,5681.2305,319.3679,460.38156,3749.5417,,881.52057,1955.8799,9991.458
2010-03-25,870.9617,5785.989,517.60333,658.5992,939.2917,,1053.5858,2315.985,9829.75
2010-03-26,876.98663,5732.5737,510.9846,619.8804,3771.2083,,1357.2218,2971.005,10875.125
2010-03-27,552.30365,5866.447,231.2276,280.494,6050.391,,1016.8947,2380.179,6638.696
2010-03-28,513.0554,6145.0366,250.1721,254.72997,4740.875,,951.7077,2204.1448,6513.4165
2010-03-29,639.7242,6363.7676,410.96375,422.3441,6795.3335,,900.28955,1962.735,2033.5834
2010-03-30,850.0408,5373.992,411.58875,613.18317,5417.9585,,1061.4841,2417.49,9831.208
