date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,direct_radiation
2010-01-02,-204.30084,6115.109,-447.03625,-590.67926,7560.9585,,1143.193,2345.8801,154.08333
2010-01-03,-329.28625,6024.3374,-583.9029,-676.9198,6689.7915,,778.9189,1685.58,474.54166
2010-01-04,-360.2675,6268.08,-573.8883,-666.399,5890.8335,,505.2742,1037.58,1025.3334
2010-01-05,-424.23,6456.1147,-605.555,-750.6607,7017.6665,,620.452,1306.98,525.4583
2010-01-06,-318.67792,6643.2246,-470.97586,-596.2943,7459.0415,,376.46475,907.99493,264.91666
2010-01-07,-452.8008,6279.316,-663.3404,-762.5893,6045.7915,,475.3562,955.33496,1395.25
2010-01-08,-429.36337,6682.196,-573.4404,-826.43036,7695.9585,,1130.9862,2220.135,12.666667
2010-01-09,-292.34042,6939.0513,-399.1071,-662.3582,7682.7915,,1070.6268,2158.6501,65.833336
2010-01-10,-214.80711,7053.6484,-305.71335,-518.59247,7668.2085,,686.9885,1409.055,29.333334
2010-01-11,-474.75082,6879.525,-589.0196,-765.5605,6702.375,,386.90738,782.13007,670.8333
2010-01-12,-620.58,6959.24,-721.31744,-937.91876,6204.75,,492.68262,966.22504,778.7083
2010-01-13,-436.67587,6949.345,-540.7863,-775.55804,6902.3335,,756.18823,1542.8099,569.5
2010-01-14,-269.14252,6944.858,-376.28,-595.3758,7214.4165,,776.94824,1549.9048,496.70834
2010-01-15,-295.86752,6967.0156,-399.5842,-601.6894,7020.4165,,621.1591,1242.21,644.4583
2010-01-16,-366.12793,6932.049,-474.22586,-710.7161,5901.5,,835.48584,1630.605,1382.5416
2010-01-17,-180.88417,6919.4785,-292.48,-569.44586,7630.2915,,1278.0392,2636.565,48.791668
2010-01-18,-27.177917,7105.7246,-113.0425,-304.73758,7068.2085,,671.6255,1459.86,492.58334
2010-01-19,-55.18417,7260.885,-118.098755,-291.14987,6189.25,,380.57764,807.165,898.875
2010-01-20,-263.84457,7141.021,-342.0925,-558.6172,6223.0415,,606.9225,1191.8551,933.7083
